topic,problem_statement,solution,answer_option_1,answer_option_2,answer_option_3,answer_option_4,answer_option_5,correct_option_number
Sequence solving,"Four numbers form a sequence: 4, 9, 25, 49. What is the next number in this sequence?","Each number in the sequence is an odd square number, increasing by incrementally larger odd numbers. 4 (2^2), 9 (3^2), 25 (5^2), and 49 (7^2). The pattern suggests that the next odd square would be 9^2, which is 81.",64,81,100,121,Another answer,4
Optimization of actions and planning,"In a small town, there is a street with five consecutive houses, each painted a different color. In each house lives a person of different nationality, who each drink a different kind of beverage, smoke different brand of cigar, and keep a different pet. No owners have the same pet, smoke the same brand of cigar, or drink the same beverage. The question is: Who owns the fish?

Hints:
1. The British lives in the red house.
2. The Swedish keeps dogs as pets.
3. The Danish drinks tea.
4. The green house is on the left of the white house.
5. The green house's owner drinks coffee.
6. The person who smokes Pall Mall rears birds.
7. The owner of the yellow house smokes Dunhill.
8. The man living in the center house drinks milk.
9. The Norwegian lives in the first house.
10. The man who smokes Blends lives next door to the one who keeps cats.
11. The man who keeps the horse lives next door to the man who smokes Dunhill.
12. The owner who smokes BlueMaster drinks beer.
13. The German smokes Prince.
14. The Norwegian lives next to the blue house.
15. The man who smokes Blends has a neighbor who drinks water.

Who owns the fish?","Following the provided hints step by step and using the process of elimination and logical deduction, we can figure out that the German owns the fish. The progression can be recorded in a grid format or by process of elimination. To summarize, taking all the given information into account:

- We know that the Norwegian lives in the first house, drinks water (by elimination and hint 15), smokes Dunhill (by elimination and hint 7), and his house is yellow (by elimination and hint 7). Since Norwegian lives in the first house, by hint 14, the blue house must be second.
- The center house is the third one where the resident drinks milk (hint 8). We know that the green house is to the left of the white house (hint 4). Since blue and yellow houses are already placed and the green house can't be fifth, the green house is fourth and the white house is fifth. The red house, therefore, is the third one where the British lives (hint 1).
- The British owner drinks milk, lives in a red house, and cannot have any other pet mentioned so far, so by elimination, he has no fish.
- The green house owner drinks coffee (hint 5) and cannot own the fish since it's not mentioned and is not available by elimination. So, the green house resident cannot be the answer.
- The remainder house is the blue one, which is next to the Norwegian. The resident cannot be the Swedish because he keeps dogs (hint 2), and it cannot be the Danish for he drinks tea (hint 3), and none of these have the fish.
- The remaining option is that the German who lives in the fourth house, smokes Prince (hint 13), and by elimination owns the fish.",British,Swedish,Norwegian,German,Another answer,4
Spatial reasoning,"Emma has placed four different colored cubes - red, blue, green, and yellow - in a row, but not necessarily in that order. She provides you with the following clues: (1) The red cube is not at either end, (2) The blue cube is to the immediate right of the green cube, (3) The yellow cube is second from the left. Which cube is at the far right end?","Using the clues: Since the yellow cube is second from the left, the first cube cannot be red (as per clue 1) or blue (as per clue 2). Therefore, the first cube must be the green one. Following the green cube, the yellow cube is second as per clue 3, and since the blue cube must be immediately to the right of the green one, the blue cube is third. The red cube cannot be at an end, so it cannot be the fourth cube. Hence, the order is green, yellow, blue, and red. Therefore, the red cube is at the far right end.",Green,Yellow,Blue,Red,Another answer,3
Operation of mechanisms,"A machine consists of three gears connected in a line. The first gear has 12 teeth and turns at the rate of 60 revolutions per minute (RPM). The middle gear has 8 teeth, and the third gear has 18 teeth. How many RPM does the third gear make if the connection between the gears means that no gear slips and there's no loss in the energy transfer?","This is a straightforward gear ratio problem. The speed of the gears is inversely proportional to the number of teeth since they are in a mesh. If the first gear makes 60 RPM, the second gear which has 2/3 the number of teeth (8 teeth instead of 12), will make 60 RPM * (12/8) = 90 RPM. The third gear, having more teeth than the second gear, will turn slower in proportion to the number of teeth. So, it will make 90 RPM * (8/18) = 40 RPM.",20 RPM,30 RPM,40 RPM,50 RPM,Another answer,3
Optimization of actions and planning,"A warehouse must dispatch 2 different types of products: A and B. Each type of product has a different packaging time: Product A takes 2 minutes to package, while Product B takes 3 minutes. There is only one packaging station and a limited amount of time before the next shipment must leave. If the warehouse has 12 hours to package products, what is the maximum number of products they can package if they must at least package 150 of product A?","The warehouse has 12 hours, which is 720 minutes of packaging time. Product A takes 2 minutes to package, so packaging 150 of product A will take 300 minutes. This leaves 420 minutes for additional products. The warehouse can package Product A and Product B in the remaining time. Since they should aim to maximize the number of products, they should package more of Product A because it takes less time. In 420 minutes, the warehouse can package an additional 210 of product A (420 minutes / 2 minutes per product A) which gives us the total number of 360 products when combined with the mandatory 150 of product A. No time is left for product B if maximizing the quantity of products is the goal.","360 products A, 0 products B","250 products A, 40 products B","150 products A, 140 products B","150 products A, 190 products B",Another answer,3
Classic riddles,"There are two doors, one leading to a room filled with treasure and the other leading to a room with a hungry lion that hasn't eaten in years. Each door is guarded by a guardian. One guardian always tells the truth and the other always lies, and you don't know which is which. You have only one question to ask one guardian to find out which door leads to the treasure. What should you ask?","You should ask either guardian the question: 'If I were to ask the other guardian which door leads to the treasure, what would he say?' The lying guardian would point to the lion's room because the truthful guardian would tell the truth and point to the lion's room, so the liar lies about it. The truthful guardian would also point to the lion's room because the lying guardian would lie. Thus, whichever door is indicated, you should choose the opposite one.",Which door would the other guardian say leads to the treasure?,Which door leads to the treasure?,"If I were to ask the other guardian which door leads to the treasure, what would he say?",Is the guardian of the treasure door lying?,Another answer,1
Sequence solving,"In a unique sequence, every term is structured as foo(n) = n^2 + n + 41 where n is a non-negative integer. What is the value of foo(10)?","Applying the given formula, foo(10) = 10^2 + 10 + 41 = 100 + 10 + 41 = 151. So the value of foo(10) is 151.",141,151,161,171,Another answer,2
Spatial reasoning,"You are an adventurer exploring a temple with four rooms arranged in a square. Each wall between rooms has a door. There are engraved symbols on the doors: a sun, a moon, a star, and a comet. You notice a pattern in the way the rooms are connected: the room with the sun door always leads to the room with the moon door, the moon to the star, the star to the comet, and the comet back to the sun. If you start in the room with the sun door and you want to visit each room once and only once, ending in the room you started, can you find the sequence of doors you would pass through?","The rooms form a square and the doors create a simple cycle. If you begin in the room with the sun door and follow the pattern sun → moon → star → comet, you will return to the sun door having visited each room exactly once. The correct sequence is: Sun → Moon → Star → Comet → Sun.","Sun, Moon, Comet, Star, Sun","Sun, Star, Moon, Comet, Sun","Sun, Moon, Star, Comet, Sun","Sun, Comet, Star, Moon, Sun",Another answer,3
Logical traps,"You are presented with two doors. One leads to certain escape, while the other leads to an infinite maze of puzzles. Each door is guarded by a sentinel. One sentinel always tells the truth, and the other always lies. You are allowed to ask a single yes-or-no question to just one sentinel to figure out which door leads to escape. What yes-or-no question do you ask to ensure you pick the escape door?","Ask either sentinel, 'If I were to ask the other sentinel which door leads to escape, what would they say?' Then choose the opposite door of what they tell you. A liar would point you to the maze, as would the truthful one, since a liar would lie about the right door.",What would the other sentinel say is the door to escape?,Is your door the one leading to escape?,Would the other sentinel tell me that this door leads to the maze?,Does the left door lead to escape?,Another answer,1
Classic riddles,"You come to a fork in the road while travelling to a village where the annual fair is held. One path leads to the village where the fair is bustling with people and activity, while the other leads to a boring and quiet dead-end. You want to go to the fair, but there's no sign indicating which way to go. At the fork, there are two twin brothers standing. One brother always tells the truth and the other brother always lies. You can ask only one question to one of the brothers to find out which way to go. What question do you ask to ensure you head towards the fair?","You should ask either brother, 'If I were to ask your twin which way leads to the village with the fair, what would he say?' Since one brother always lies and the other always tells the truth, both will point to the same wrong path. Knowing this, you can confidently take the opposite path towards the fair.",Which way is the village?,Where would your brother say the fair is?,Is the village this way?,Do you live in the village where the fair is being held?,Another answer,2
Spatial reasoning,You have a rectangular strip of paper. Your task is to fold the paper in a way to divide it into exactly 8 equal-sized sections with the minimum number of folds. Each fold runs from one side of the paper to the opposite side (like closing a book). What is the minimum number of folds required?,"To divide the paper into 8 equal sections, you can fold the paper in three steps. First, fold the paper in half, then fold it in half again, and finally, fold it in half a third time. Each folding in half doubles the number of sections. Fold 1 yields 2 sections, Fold 2 yields 4 sections, and Fold 3 yields 8 sections. Thus, the minimum number of folds required is 3.",2,3,4,5,Another answer,2
Sequence solving,"If the sequence of numbers is 4, 9, 19, 34, 54, what is the next number in the sequence?","The sequence follows a pattern where each number is the result of the square of its position in the sequence plus 1 (position starts with 1). So, the 1st number is 1^2+1=2, the 2nd is 2^2+1=5, the 3rd is 3^2+1=10, the 4th is 4^2+1=17, and the 5th is 5^2+1=26. However, there's an additional rule which then subtracts the position number from the result. So, 2-1=1 (not in the sequence), 5-2=3, 10-3=7, 17-4=13, and 26-5=21. The next number's position is 6, so we calculate 6^2+1=37 and then subtract 6 to get 31.",49,31,79,121,Another answer,3
Optimization of actions and planning,"You are given a device that operates only when plugged in. The device takes exactly 7 minutes to warm up before you can use it. Assuming it takes you 3 minutes to complete your task once the device is ready, and you want to minimize the time you spend waiting for the machine to warm up, what is the earliest you should turn on the machine if you want to be done with your task as close to 30 minutes from now as possible?","You need to work backward from the desired finish time. You want the task to be finished 30 minutes from now, which takes 3 minutes. So, the device should be done warming up 27 minutes from now. Since it takes 7 minutes for the machine to warm up, you should turn on the machine 27 - 7 = 20 minutes from now.",10 minutes from now,15 minutes from now,20 minutes from now,25 minutes from now,Another answer,3
Sequence solving,"You are provided with a sequence of numbers: 3, 5, 9, 17, 33. Your goal is to determine the next number in this sequence. Each number in the sequence is related to its preceding numbers by a certain logic. Find the rule and apply it to determine the next number.","The sequence is created by taking the previous number, doubling it, and subtracting 1. For example, the second number, 5, is calculated by taking the first number, 3, doubling it to get 6, and subtracting 1 to arrive at 5. Using this rule on the last number: 33 * 2 - 1 equals 65. Therefore, the next number in the sequence is 65.",49,65,57,72,Another answer,2
Optimization of actions and planning,You have 3 tasks to complete with different deadlines and levels of importance. Task A must be completed within 4 days and it's highly important. Task B is of medium importance and is due in 2 days. Task C is less important but needs to be done by tomorrow. You can only work on one task each day. What is the optimal order of completing these tasks to maximize importance while meeting the deadlines?,"You should complete Task C on day 1 to meet its deadline since it's due tomorrow. On day 2, you should complete Task B because it has a higher importance than Task C and has a deadline of 2 days. Finally, work on Task A on days 3 and 4 to meet its deadline as well. By following this order, you respect all deadlines and prioritize the tasks based on their levels of importance.","C, B, A","B, A, C","A, B, C","B, C, A",Another answer,1
Spatial reasoning,"Three friends are playing with colored blocks and decide to create towers. They agree on the following rules: 1. Each tower must consist of exactly three blocks. 2. No two towers can have the same sequence of colors. 3. They have four colors of blocks to choose from: red, blue, green, and yellow. How many different towers can the friends build following these rules?","There are 4 choices for the first block, 4 choices for the second block (since the same color can be repeated), and 4 choices for the third block. Therefore, the total number of different possible towers is 4 * 4 * 4 = 64.",27,64,81,256,Another answer,5
Spatial reasoning,"A cube is painted red on all its sides and then cut into 27 identical smaller cubes. These smaller cubes are randomly placed in a bag. Without looking, what is the minimum number of smaller cubes that must be taken out from the bag to ensure that you have at least two smaller cubes with at least one red face each?","The cube, when cut into 27 smaller cubes, will have 8 corner cubes with 3 red faces each, 12 edge cubes with 2 red faces each, and 6 face cubes with 1 red face each, in addition to one cube with no red face from the center. If we want to ensure that 2 cubes have at least one red face, we need to account for the worst-case scenario where we draw the non-red-faced cube first. After drawing the first cube, which could be the one without a red face, drawing one more would guarantee that at least it has one red face. Therefore, we need to draw a minimum of 2 cubes.",2,3,4,5,Another answer,1
Operation of mechanisms,"You find yourself in front of three doors with an electronic locking mechanism. Each door has a keypad with digits 0-9 and a display showing a number. The doors' displays show 120, 65, and 91, respectively. A note next to the doors reads: 'I lock with the product of two prime numbers. One door leads outside, but be warned: one door will trigger an alarm, and the other is permanently locked even if you guess correctly. The sum of primes for the outside door is less than the permanently locked door and greater than the alarm door.' Only the door that leads outside will open when the correct code is entered. What is the code of the door that leads outside?","First, we need to find two prime numbers that multiply to each number on the displayed doors. For 120, the prime factors are 2, 2, 2, 3, and 5. The product of any two primes, e.g., 2 and 5 (ignoring the non-unique primes), gives us 10. For 65, the primes are 5 and 13, and for 91, the primes are 7 and 13. The sum of the primes for 65 is 18, and for 91 is 20. The outside door should have a prime sum larger than one door and smaller than the other, so 18 is the correct sum. The code is the product of 5 and 13, which is 65.",65,77,91,10,Another answer,1
Operation of mechanisms,"You are given a task to operate a mechanism that consists of three levers. Each lever can be in an up (U) or down (D) position, and their initial state is UUD. The mechanism opens a door if the levers are positioned in a specific sequence. You are informed that switching the position of any lever will also toggle the position of the lever to its immediate right except for the last lever, which when toggled, does not affect the others. If you can only move one lever at a time, what is the minimum number of moves required to achieve the sequence DDU to open the door?","Initially, the levers are in the UUD position. First, move the middle lever down (DUU). Second, move the first lever down, which will also toggle the middle lever up (UDD). Lastly, move the first lever up, which leaves the second lever unchanged and the levers in DDU position. The door will now open. Minimum moves = 3.",2,3,4,5,Another answer,1
Spatial reasoning,"You have a box that is divided into a 3x3 grid, making up 9 compartments. The box can be flipped over along any row or column. If you place a ball into the top left compartment and then flip the box over the middle row, followed by flipping it over the middle column, in which compartment will the ball end up?","When the box is flipped over the middle row, the top row becomes the bottom row. The ball, which started in the top left compartment, moves to the bottom left compartment. Next, flipping the box over the middle column swaps the positions of the left and right columns, moving the ball from the bottom left compartment to the bottom right compartment. Therefore, the ball will end up in the bottom right compartment.",Top right compartment,Bottom left compartment,Bottom right compartment,Top left compartment,Another answer,3
Optimization of actions and planning,"Alice, Bob, and Charlie are planning to paint a house together. The house has four walls, all the same size, and they have estimated that it would take one person 4 hours to paint one wall. They want to finish painting all four walls in the least amount of time. Alice can paint twice as fast as Charlie, and Bob can paint at 1.5 times the speed of Charlie. Assuming they can start painting more than one wall at a time and they all start and finish at the same time, what is the minimum amount of time required to paint all four walls if they work together optimally?","Let's assume Charlie paints at speed 1 wall per 4 hours. Alice paints at speed 2 (twice as fast), and Bob paints at 1.5 times the speed of Charlie (1.5 walls per 4 hours). The combined speed of all three painters is 1 + 2 + 1.5 = 4.5 walls per 4 hours. To paint 4 walls, they would require 4 / 4.5 * 4 = 3.56 hours. Since they can't paint in partial hours, the minimum time they need when they optimize their efforts is 4 hours, as no matter how the work is distributed, they will not be able to finish before the 4 hour mark since not every painter can be utilized fully without wasting time due to a partial wall remaining.",3 hours,4 hours,5 hours,6 hours,Another answer,2
Lateral thinking,"You are asleep and you hear a knock on the door. It's your parents, who came to have breakfast. You have strawberry jam, honey, wine, bread, and cheese. What is the first thing you open?",The first thing you open is your eyes because you are asleep.,The door,The jam,Your eyes,The honey,Another answer,3
Optimization of actions and planning,"You have to bake 12 cakes for a party and each cake takes exactly one hour to bake. You only have one oven, which can bake up to two cakes at a time. You need to let each cake cool for half an hour after baking before they can be decorated. The decoration of each cake takes 15 minutes and can only be done one at a time. You must finish all tasks (baking, cooling, decorating) within 6 hours to be ready for the party. What time must you start baking the first cake to finish on time for the party?","You can bake a maximum of two cakes every hour. So to bake all 12 cakes, you'll need at least 6 hours for baking alone. As each cake cools for half an hour and takes 15 minutes to decorate, each cake requires 45 additional minutes after baking. To ensure you finish decorating the last cake by the 6 hour deadline, you need to start baking the first two cakes 5 hours and 15 minutes before the 6-hour time frame ends, as this will allow for the last cakes to cool and be decorated within the time limit. Baking should start at T - 5 hours and 15 minutes, where T is the deadline for finishing all tasks.",5 hours and 45 minutes before the party,5 hours and 15 minutes before the party,4 hours and 45 minutes before the party,6 hours before the party,Another answer,5
Operation of mechanisms,"In a factory, there are three machines A, B, and C. Machine A can complete a job in 3 hours, Machine B can do it in 4 hours, and Machine C can do it in 6 hours. However, due to a maintenance issue, Machines A and B can only start working after Machine C has been operating for an hour. What is the shortest time in which the job can be completed if all three machines are used?","Machine C works alone for 1 hour, completing 1/6 of the job. Then Machines A, B, and C work together. Together, the rates of the machines are (1/3) + (1/4) + (1/6) which simplifies to (4/12) + (3/12) + (2/12) = 9/12 or 3/4 job per hour. Since 1/6 of the job is already done, they have 5/6 of the job left. Working together, they complete the remaining job in (5/6) / (3/4) = (5/6) * (4/3) = 20/18 = 10/9 hours. The total time is 1 + 10/9 = 19/9 hours, or approximately 2 hours and 7 minutes.",2 hours and 7 minutes,3 hours,4 hours and 30 minutes,2 hours and 12 minutes,Another answer,1
Lateral thinking,"Alex, Ben, and Charles each own a unique color hat among red, blue, and green. They are sitting in a row, one behind the other, where Alex is in front and can't see the others, Ben is in the middle and can see Alex, while Charles is at the end and can see both Alex and Ben. They are told that a total of two hats out of their three are red and the other is blue. They need to guess the color of their own hat, but if they guess, it must be correct as wrong guesses are not allowed. Starting with Charles, none of them can hear the others' answers or know if others have guessed. Charles starts and says he doesn’t know his own hat color. Ben hears this, thinks for a moment, and also says that he doesn’t know his own hat color. Finally, Alex confidently declares the color of his hat. What color is Alex's hat and how did he deduce it?","Alex's hat is red. Charles sees two hats in front of him. If he had seen a blue hat and a red hat, he would have known his hat must be red because there are two red hats in total. However, Charles couldn't deduce his hat's color, which implies that he saw either two red hats or two blue hats. Since only one blue hat exists, Charles must have seen two red hats. When Ben heard that Charles didn’t know, he understood that his and Alex's hats must be the same color. If Ben had seen a blue hat on Alex, he would have deduced his hat must be red, but he didn’t, meaning Alex also had a red hat. Knowing there is only one blue hat and that neither Charles nor Ben knew their hat's color, Alex figured both their hats were red, so his must be as well.",Red,Blue,Green,Cannot be determined,Another answer,1
Lateral thinking,"Eva, Luna, and Zara decide to have a competition with their freshly baked pies. They each bake a pie and place them on the table. The pies are cherry, apple, and blueberry. Eva doesn't like cherries, Luna made an apple pie, and Zara is allergic to blueberries. Based on this information, can you deduce who baked which pie?","Since Luna made the apple pie, that leaves cherry and blueberry pies. Eva doesn't like cherries, so she wouldn't bake a cherry pie, and Zara is allergic to blueberries, so she wouldn't bake a blueberry pie. Therefore, Eva baked the blueberry pie, Luna baked the apple pie, and Zara baked the cherry pie.","Eva: Cherry, Luna: Apple, Zara: Blueberry","Eva: Blueberry, Luna: Apple, Zara: Cherry","Eva: Apple, Luna: Cherry, Zara: Blueberry","Eva: Apple, Luna: Blueberry, Zara: Cherry",Another answer,2
Spatial reasoning,"You are given a cube with an edge of length 2 units. Inside the cube, a single point is marked at a distance of 1 unit from one of the corners of the cube. If you start from this point and want to reach the opposite corner of the cube by moving only along the edges, what is the minimum distance you need to cover?","To find the shortest path, visualize unfolding the cube and laying it out flat. The point is 1 unit away from a corner. The shortest path will move along three edges, essentially forming a large 'L' shape on the unfolded cube. You would move 1 unit towards the corner, then 2 units along one edge to the opposite side, and finally up 2 units to the opposite corner. The minimum distance is the sum of these movements, which is 1 + 2 + 2 = 5 units.",4 units,5 units,6 units,sqrt(12) units,Another answer,2
Spatial reasoning,"Four friends are discussing the properties of their own houses. Each house is a different color (blue, green, red, and white), and each friend owns a house of one of these colors. The following statements are made: 1. Alice's house is either green or blue. 2. The red house is to the immediate left of the green house. 3. Charlie owns the house to the immediate right of the blue house. 4. The white house is not next to the blue house. Based on the information provided, which color house does Bob own?","Since the red house is to the immediate left of the green house, these two cannot be at either end. So, the arrangement from left to right can't start with green or end with red. Also, the white house can't be next to the blue house. The blue house has to be to the left of Charlie's house and since Charlie cannot have the red or green houses to his right (they're together), it means Charlie owns the white house which is to the immediate right of the blue house. Therefore, the order from left to right is Red, Green, Blue, White. Since Alice owns a house that is green or blue, by elimination Bob owns the red house.",Red,Green,Blue,White,Another answer,1
Lateral thinking,"Laura, Marcus, and Nora have been captured by a notorious pirate, who has decided to give them a chance for freedom. The pirate blindfolds them and tells them that he will place a hat on each of their heads. Each hat is either black or white, and there are at least two hats of each color. They will stand in a line, one behind the other, facing forward, so that Laura can see both Marcus and Nora, Marcus can only see Nora, and Nora can't see anyone. When the blindfolds are removed, they can't speak to or signal each other, and they can't look at their own hats. They must guess the color of their own hat starting with Laura, then Marcus, and then Nora. If at least one of them guesses correctly, they will all go free. The pirate also tells them that he will place the hats while they are still blindfolded and that they will have some time to strategize before he does so. What strategy should they use to maximize their chances of freedom?","The three captives can employ a strategy where they assign a meaning to silence. Since Laura goes first and can see both Marcus and Nora's hats, she will remain silent if they have hats of the same color. If she sees that Marcus and Nora have different colored hats, she will guess the color she doesn't see in front of her, effectively communicating to Marcus what his hat color is, since he can see Nora's hat. Marcus then only needs to determine if Laura has been silent because he and Nora have different-colored hats, in which case he will guess the opposite color of Nora's hat, ensuring one correct guess. If Laura does state a color, then Marcus knows that he and Nora have the same color hat, and he will guess that color. Nora will always guess the opposite color of Marcus's hat if Marcus has spoken or the same as Marcus if Laura was silent. This strategy ensures that at least one of them will guess their hat color correctly.",Laura speaks out the color she sees most of.,"Laura remains silent for reasoning, not randomly.",They all randomly guess a color.,They take turns speaking out each color until someone guesses their hat color.,Another answer,2
Classic riddles,"You are in a dark room where there are 100 coins scattered around on the floor. You know that 90 coins are tails up, and 10 are heads up. You need to split the coins into two piles such that there are an equal number of heads in each pile. You cannot see if a coin is heads or tails. How do you do it?","First, separate the coins into two piles with any arbitrary division, one pile with 90 coins and another with 10 coins. Now, flip every coin in the smaller pile. This will ensure that both piles have the same number of heads. For example, if there were 3 heads in the pile of 10 coins, when you flip them, you'll end up with 3 tails, so there will be 3 heads in the larger pile. Both piles now have an equal number of heads.",Make one pile with 50 coins and flip it.,Make one pile with 10 coins and flip it.,Make one pile with 90 coins and do nothing.,Make one pile with 25 coins and flip it.,Another answer,2
Spatial reasoning,"You are in a room with 4 doors, each door leads to a path that comes to a fork. The room has a sign saying, 'Three of these paths lead to a loop that will bring you back to this room. One path leads to freedom. The Room of Truth contains the clue to your escape, and lies at the end of the second left path after any fork.' In the Room of Truth, you find another sign, 'The safe door is not the first on the left, but it is a prime number away from it.' Which door do you choose for freedom?","The doors are numbered 1 to 4 for reference. According to the Room of Truth sign, the safe door isn't the first on the left (Door 1) but it is a prime number of doors away from it. The prime numbers between 1 and 4 are 2 and 3. We add that to 1, which means the safe door is either Door 3 or Door 4. Door 3 is the correct answer because it's the second door after Door 1 (first on the left), and it adheres to the Room of Truth's clue.",Door 1,Door 2,Door 3,Door 4,Another answer,4
Logical traps,A bottle and a cork together cost $1.10. The bottle costs $1 more than the cork. How much does the cork cost?,"This puzzle is a classic example of a logical trap, where our intuition might lead us to answer too quickly that the cork costs $0.10. However, if the cork costs $0.10 and the bottle costs $1 more, then the bottle would cost $1.10 and the total would be $1.20. The correct way to solve it is to let the cork's cost be 'x' dollars; therefore, the bottle's cost is 'x + $1'. The equation is x + (x + $1) = $1.10, which simplifies to 2x + $1 = $1.10, then 2x = $0.10, and finally x = $0.05. The cork costs 5 cents",$0.10,$0.05,$1.00,$1.10,Another answer,2
Operation of mechanisms,"In a factory, there are three machines A, B, and C. Machine A can complete a job in 6 hours, machine B in 3 hours, and machine C doubles the speed of any machine it works with. On one particular day, machines A and C work together for the first hour, after which machine C breaks down. Machine B joins in for the rest of the job. How many hours in total did it take to complete the job?","Machine A and C can complete the job in 3 hours since machine C doubles the speed of machine A (6 hours halved). In the first hour, they complete 1/3 of the job. After that, 2/3 of the job remains. Machine B can complete the job in 3 hours on its own, so to complete 2/3, it would take 2 hours. Therefore, the total time taken is the 1 hour by machines A and C plus the 2 hours by machine B, which equals 3 hours.",2 hours,3 hours,4 hours,5 hours,Another answer,5
Lateral thinking,A man is found hanging in a room with a puddle of water under his feet. The room has no windows and the only door was locked from the inside. The man was standing on a block of ice to hang himself. How did the man manage to hang himself?,"The man used a block of ice as a platform to stand on while he put the noose around his neck. Once he was hanging, the ice melted, leaving a puddle of water on the floor. This is why there was no evidence of anything for him to have stood on when he was found, only a puddle of water.",He climbed on a pile of furniture.,He used a block of ice which melted.,He jumped from a beam in the ceiling.,He had help from an accomplice.,Another answer,2
Optimization of actions and planning,"You are the new manager in a paperclip factory. The factory has one machine that bends straight metal wires into paperclips and another machine that sorts out defective paperclips. The bending machine can produce 200 paperclips per hour and has a 3% defect rate. The sorting machine can inspect 150 paperclips per hour. The factory runs for 8 hours a day. Your task is to optimize the number of non-defective paperclips at the end of the day. Knowing that you cannot change the speed of the machines and the defect rate, what is the number of non-defective paperclips produced at the end of the day?","The bending machine produces 200 paperclips per hour, so in 8 hours, it produces 200*8 = 1600 paperclips. Given the defect rate of 3%, the number of defective paperclips it produces is 1600*0.03 = 48. Therefore, the number of non-defective paperclips is 1600 - 48 = 1552. The sorting machine can inspect 150 paperclips per hour, so in 8 hours, it inspects 150*8 = 1200 paperclips. Since the sorting machine cannot inspect all the paperclips produced by the bending machine, the maximum number of non-defective paperclips verified by the sorting machine, and therefore available at the end of the day, is limited to 1200 (as unverified paperclips cannot be sold). Hence, despite the bending machine producing 1552 non-defective paperclips, only 1200 can be verified and sold.",1200,1600,1552,2000,Another answer,1
Optimization of actions and planning,"In an office, there are 4 employees: A, B, C, and D. The manager needs to assign 4 different tasks - task 1, task 2, task 3, and task 4, to them based on their efficiency. Employee A takes 2 hours to complete any given task. Employee B takes 3 hours for task 1, 2 hours for task 2, 4 hours for task 3, and 1 hour for task 4. Employee C takes 1 hour for task 1, 4 hours for task 2, 2 hours for task 3, and 3 hours for task 4. Employee D takes 4 hours for task 1, 1 hour for task 2, 3 hours for task 3, and 2 hours for task 4. Each employee can only perform one task, and the tasks must be assigned in such a way that the total time taken is minimized. Which task should the manager assign to each employee to minimize the total time of completion?","To minimize the total time, we should assign the tasks in such a way that the quickest employee for each task is assigned to it: Employee A should be given any task because their time will always be 2 hours. Employee B should be given task 4 as they take only 1 hour for it. Employee C should be given task 1 since it takes them 1 hour. Employee D should be given task 2, which takes them only 1 hour. Therefore, task 3 is left for Employee A.","A: Task 2, B: Task 1, C: Task 4, D: Task 3","A: Task 4, B: Task 3, C: Task 1, D: Task 2","A: Task 3, B: Task 4, C: Task 1, D: Task 2","A: Task 1, B: Task 2, C: Task 3, D: Task 4",Another answer,3
Sequence solving,"You are given a sequence of numbers where each number represents an action. The actions are defined as follows: 1-Add 3, 2-Subtract 2, 3-Multiply by 5, and 4-Divide by 2. Starting with the number 10, follow the sequence of actions 2, 1, 3, 2, 4, 1. What is the result after performing all these actions in the given order?","Starting with the number 10, follow each action step by step:
- Step 1 (2): 10 - 2 = 8
- Step 2 (1): 8 + 3 = 11
- Step 3 (3): 11 * 5 = 55
- Step 4 (2): 55 - 2 = 53
- Step 5 (4): 53 / 2 = 26.5
- Step 6 (1): 26.5 + 3 = 29.5
Hence, the result after following the actions in the given order is 29.5.",27.5,29.5,32.5,34.5,Another answer,2
Sequence solving,"Alice has created a sequence where each number is generated by adding the square of the number's position in the sequence (where the first position is 1, the second position is 2, and so on) to the previous number. If the sequence starts with 1, what is the 6th number in the sequence?","The sequence starts with 1. To generate subsequent numbers, we add the square of the position number to the previous value: 2nd number: 1 + 2^2 = 5 3rd number: 5 + 3^2 = 14 4th number: 14 + 4^2 = 30 5th number: 30 + 5^2 = 55 6th number: 55 + 6^2 = 91 Thus, the 6th number in the sequence is 91.",81,66,77,91,Another answer,4
Logical traps,"Alice, Bob, and Charlie are participants in a game show. The host shows them five hats: three red and two blue. Each participant is blindfolded and has one hat placed on their head; the remaining hats are hidden. They can't see their own hat, but they can see the hats of the other two participants. The first to correctly announce the color of their own hat wins a prize. Alice sees that Bob and Charlie have red hats. Bob sees that Alice and Charlie have red hats. Charlie sees that Alice and Bob have red hats. They all deduce logically and do not guess. Alice says she doesn't know the color of her hat. Bob also says he doesn't know the color of his hat. Charlie then announces the color of his hat. What color is Charlie's hat, and what is the logical explanation?","Charlie's hat is red. Since Alice sees two red hats, if her hat were blue, Bob would see one red and one blue hat. In that case, knowing there are only two blue hats, Bob would deduce that his hat must be red. However, Bob didn't know the color of his hat, which means Alice's hat must be red. Bob sees two red hats as well, and if his hat were blue, following the same logic as before, Charlie would have answered without waiting for Bob to speak. Since Charlie also didn't know until Bob spoke, it means all three participants are wearing red hats.",Red,Blue,The color cannot be determined,Not enough information,Another answer,2
